2,的自己
2,的舉
2,的話
2,的謝霖安
2,的過
2,的面具
2,看一
2,看了一
2,看了看
2,看他
2,看你
2,看看
2,看著她
2,真會跑
2,真的
2,知道了
2,站起來
2,笑了
2,笑地
2,笑著
2,第五題
2,緩緩跟
2,總是活在自己的世
2,總是踏不出開口那
2,繼續
2,翹課
2,老子
2,聳肩
2,肚子
2,肩膀
2,背著書包
2,與女主
2,舉起
2,花盆
2,茫然
2,著一群
2,蔡俊彥和小摟摟
2,蔡俊彥手
2,蔡俊彥把
2,表情
2,被害者
2,見了
2,覺得
2,解釋
2,誒同學
2,諷笑起來
2,謝霖安再次拉
2,謝霖安從
2,謝霖安手
2,變化
2,變壞的癥結
2,變成
2,走出餐廳
2,走吧
2,走在
2,起身
2,跑向
2,跑進
2,跑過來
2,跟在後面
2,跟我們
2,路人甲
2,踏不出開口那一步
2,身上
2,轉學生
2,轉過
2,這個
2,還好嗎
2,那些
2,都被
2,都要
2,金盆洗手
2,門打開
2,隔壁班
2,離開
2,霸凌的
2,靠近
2,鞋子
2,順手捐點錢
2,飲料
2,餓死了
2,體力這麼
2,高中教室
2,高中時
2,默默
